[表題行],部門,勘定科目,補助科目,日付,伝票No.,作業日付,仕訳番号,決算,調整,付箋１,付箋２,タイプ,生成元,部門,税区分,税計算区分,相手勘定科目,相手補助科目,相手部門,相手税区分,相手税計算区分,借方金額,借方税額,貸方金額,貸方税額,金額,残高,摘要,請求書区分,仕入税額控除,期日,番号,仕訳メモ
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897520,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17755426,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897521,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,100000,,-100000,17655426,石垣吉規　SEO対策費用　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897522,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17654986,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897523,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,191363,,-191363,17463623,秋池沙織　顧客対応業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897524,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17463183,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897525,,NO,,,[振伝],,,,,諸口,,,,,,,121217,,-121217,17341966,紙谷仁　動画編集業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897528,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17341526,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897529,,NO,,,[振伝],,,,,諸口,,,,,,,26937,,-26937,17314589,池松暖仁　動画編集業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897532,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,17314314,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897533,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,6600,,-6600,17307714,㈱ｸﾘｰﾄ　動画制作費用　11月　自社,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897534,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,17307439,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897535,,NO,,,[振伝],,,,,諸口,,,,,,,41912,,-41912,17265527,ﾊｰﾓﾆｰｳﾞｫｲｽ中村麻里　(同)ｼｴｽﾀ　委託費･立替経費 11月 自社100%負担,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897538,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17265087,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897539,,NO,,,[振伝],,,,,諸口,,,,,,,110550,,-110550,17154537,中西智広　Mr.Kﾏﾈｰｼﾞｬｰ業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897542,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17154097,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897543,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,33000,,-33000,17121097,㈱E-Voice　ｽﾄｯｸｼﾞｬｰﾅﾙ㈱　動画出演料　11月　自社100%負担,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897544,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17120657,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897545,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,44000,,-44000,17076657,㈱ﾗｯｼｭ　(同)ｼｴｽﾀｾﾐﾅｰ司会　11月　自社100％負担,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897546,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17076217,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897547,,NO,,,[振伝],,,,,諸口,,,,,,,991334,,-991334,16084883,㈱ASUPARA　営業代行費･郵送費･通話料　11月,,,,,
